dt, Acceleration, Pressure, Their Altitude, Our Altitude
0.01,4.77,80706,1878.08,1815.604819
0.01,3.71,80672,1881.48,1818.216584
0.01,4.24,80657,1882.98,1820.830946
0.01,3.18,80620,1886.69,1823.406659
0.01,3.18,80606,1888.09,1825.988739
0.01,2.12,80556,1893.1,1828.668921
0.01,1.59,80550,1893.7,1831.203246
0.01,1.06,80521,1896.61,1833.714302
0.01,0.53,80489,1899.82,1836.320626
0.01,0,80461,1902.63,1838.915525
0.01,0,80430,1905.74,1841.623202
0.01,0,80386,1910.16,1844.509299
0.01,-0.53,80387,1910.06,1847.052288
0.01,-1.06,80357,1913.07,1849.645449
0.01,-1.06,80311,1917.69,1852.490375
0.01,-1.59,80289,1919.9,1855.217698
0.01,-1.59,80238,1925.03,1858.263568
0.01,-1.59,80216,1927.24,1861.204249
0.01,-2.12,80195,1929.35,1864.038046
0.01,-1.59,80158,1933.08,1867.065069
0.01,-2.12,80146,1934.28,1869.804968
0.01,-2.12,80121,1936.8,1872.612921
0.01,-2.12,80084,1940.53,1875.491487
0.01,-2.12,80044,1944.55,1878.534686
0,-2.12,80044,1944.55,1880.501213
0.01,-2.12,80027,1946.27,1883.274508
0.01,-2.12,79988,1950.2,1886.145228
0.01,-2.65,79973,1951.71,1888.856119
0.01,-2.65,79929,1956.15,1891.790676
0.01,-3.18,79909,1958.17,1894.569334
0.01,-3.18,79878,1961.29,1897.450582
0.01,-3.18,79857,1963.41,1900.236477
0.01,-3.71,79832,1965.94,1902.975485
0.01,-3.71,79794,1969.77,1905.87251
0.01,-4.24,79771,1972.1,1908.650898
0.01,-4.24,79750,1974.22,1911.425098
0.01,-4.24,79695,1979.78,1914.482188
0.01,-4.77,79684,1980.89,1917.302931
0,-4.77,79684,1980.89,1919.164836
0.01,-4.77,79651,1984.23,1921.941421
0.01,-4.77,79614,1987.97,1924.813948
0.01,-4.77,79582,1991.21,1927.752759
0.01,-5.3,79567,1992.73,1930.489602
0.01,-5.3,79546,1994.86,1933.223242
0.01,-5.3,79515,1998,1935.990753
0.01,-5.83,79471,2002.45,1938.912256
0.01,-5.83,79455,2004.07,1941.733968
0.01,-5.83,79406,2009.04,1944.785
0.01,-6.36,79375,2012.19,1947.804723
0.01,-6.36,79378,2011.88,1950.518744
0.01,-6.36,79336,2016.14,1953.398224
0.01,-6.89,79296,2020.2,1956.367178
0.01,-6.89,79276,2022.23,1959.279709
0.01,-6.36,79253,2024.57,1962.184959
0.01,-7.42,79218,2028.13,1965.034089
0.01,-7.42,79183,2031.68,1968.059513
0.01,-7.95,79148,2035.24,1971.040911
0.01,-7.95,79133,2036.76,1973.951485
0,-7.95,79133,2036.76,1975.870672
0.01,-7.95,79104,2039.71,1978.645898
0.01,-7.95,79075,2042.66,1981.407918
0.01,-7.95,79028,2047.45,1984.428812
0.01,-7.95,79023,2047.96,1987.173824
0.01,-8.48,78972,2053.15,1990.153725
0.01,-8.48,78938,2056.61,1993.217792
0.01,-8.48,78936,2056.82,1995.97599
0.01,-8.48,78904,2060.08,1998.81624
0.01,-8.48,78868,2063.75,2001.748922
0.01,-9.01,78820,2068.64,2004.848261
0.01,-9.01,78798,2070.89,2007.896824
0.01,-9.01,78773,2073.44,2010.8853
0.01,-9.01,78729,2077.93,2014.055217
0.01,-9.01,78720,2078.85,2016.98532
0.01,-9.54,78680,2082.94,2020.001983
0.01,-9.54,78654,2085.59,2023.019584
0.01,-9.54,78632,2087.84,2025.949373
0.01,-10.07,78581,2093.06,2029.087368
0.01,-10.07,78559,2095.31,2032.16517
0.01,-10.07,78539,2097.35,2035.129295
0.01,-10.07,78501,2101.24,2038.21306
0.01,-10.6,78478,2103.6,2041.164156
0.01,-10.6,78436,2107.9,2044.311907
0.01,-11.13,78424,2109.13,2047.180165
0.01,-11.13,78389,2112.71,2050.19498
0.01,-11.66,78331,2118.66,2053.436493
0.01,-12.19,78334,2118.35,2056.308452
0.01,-12.19,78297,2122.14,2059.299768
0.01,-12.19,78245,2127.48,2062.544623
0.01,-12.72,78234,2128.61,2065.516815
0.01,-12.72,78201,2131.99,2068.584937
0.01,-13.25,78158,2136.41,2071.724229
0,-13.25,78158,2136.41,2074.000577
0.01,-12.72,78122,2140.11,2077.096847
0.01,-13.25,78128,2139.49,2079.710042
0.01,-13.25,78071,2145.35,2082.754404
0.01,-13.25,78057,2146.79,2085.591785
0.01,-13.78,78037,2148.85,2088.337518
0.01,-13.78,77984,2154.3,2091.40222
0.01,-13.25,77968,2155.95,2094.369916
0.01,-13.78,77924,2160.48,2097.432386
0.01,-13.78,77910,2161.92,2100.38307
0.01,-13.78,77873,2165.73,2103.408349
0.01,-14.31,77839,2169.23,2106.454215
0.01,-14.31,77810,2172.22,2109.529642
0.01,-13.78,77782,2175.11,2112.636214
0.01,-13.78,77751,2178.3,2115.734851
0.01,-14.31,77727,2180.78,2118.735653
0.01,-14.31,77677,2185.94,2122.001981
0.01,-14.31,77653,2188.42,2125.170578
0.01,-14.31,77634,2190.38,2128.233103
0.01,-13.78,77616,2192.24,2131.227961
0.01,-14.31,77565,2197.51,2134.386011
