dt, Acceleration, Pressure, Their Altitude, Our Altitude, DES
0.017300,-2.120000,65830.000000,3495.99,3407.180320,0
0.008500,-2.430000,65759.000000,3502.96,3420.463125,0
0.008400,-2.160000,65689.000000,3512.78,3432.836317,0
0.017300,-1.960000,65512.000000,3533.97,3447.904249,0
0.008700,-2.000000,65457.000000,3540.62,3460.321617,0
0.008400,-2.080000,65380.000000,3549.16,3472.121545,0
0.017300,-1.920000,65211.000000,3570.44,3486.570674,0
0.008400,-1.840000,65151.000000,3576.39,3498.615449,0
0.008700,-1.880000,65076.000000,3584.85,3510.142470,0
0.017300,-1.690000,64913.000000,3605.26,3524.192405,0
0.008500,-1.610000,64851.000000,3610.75,3536.007828,0
0.008400,-1.610000,64791.000000,3619.72,3546.943620,0
0.017500,-1.570000,64631.000000,3638.64,3560.486026,0
0.008500,-1.650000,64564.000000,3644.99,3572.021781,0
0.008500,-1.490000,64514.000000,3652.31,3582.520470,0
0.017200,-1.450000,64364.000000,3670.21,3595.412774,0
0.008700,-1.570000,64310.000000,3675.51,3606.183846,0
0.008500,-1.450000,64249.000000,3684.54,3616.339043,0
0.017200,-1.180000,64098.000000,3702.14,3629.009704,0
0.008500,-1.330000,64044.000000,3707.45,3639.586215,0
0.008700,-1.410000,63996.000000,3715.78,3649.287223,0
0.017300,-1.260000,63832.000000,3733.32,3661.912263,0
0.008400,-1.180000,63787.000000,3738.40,3672.251289,0
0.008500,-1.260000,63743.000000,3745.19,3681.640872,0
0.017500,-0.980000,63591.000000,3762.90,3693.768977,0
0.009200,-1.140000,63556.000000,3766.42,3703.489215,0
0.009800,-1.180000,63487.000000,3776.15,3713.105887,0
0.017300,-0.940000,63353.000000,3792.58,3724.783973,0
0.008700,-1.020000,63322.000000,3795.87,3734.077967,0
0.008500,-0.940000,63267.000000,3803.18,3742.930611,0
0.017200,-0.820000,63137.000000,3818.92,3753.999472,0
0.008500,-0.940000,63100.000000,3821.49,3762.975794,0
0.008700,-0.860000,63055.000000,3828.33,3771.357038,0
0.017500,-0.820000,62933.000000,3843.63,3781.838670,0
0.008400,-0.780000,62890.000000,3847.67,3790.521460,0
0.008500,-0.820000,62844.000000,3853.80,3798.660707,0
0.017600,-0.630000,62725.000000,3867.42,3808.922961,0
0.008500,-0.670000,62696.000000,3871.47,3817.057331,0
0.008400,-0.780000,62658.000000,3876.88,3824.560398,0
0.017400,-0.630000,62552.000000,3890.16,3833.955703,0
0.008400,-0.710000,62509.000000,3893.48,3841.808978,0
0.008700,-0.750000,62477.000000,3899.89,3848.964335,0
0.017400,-0.510000,62380.000000,3911.84,3857.826519,0
0.008500,-0.550000,62335.000000,3916.28,3865.341332,0
0.008400,-0.630000,62299.000000,3921.34,3872.299154,0
0.017600,-0.510000,62194.000000,3933.82,3881.226717,0
0.008500,-0.550000,62160.000000,3935.43,3888.512258,0
0.008500,-0.510000,62139.000000,3941.37,3894.918458,0
0.017400,-0.510000,62039.000000,3952.63,3903.229472,0
0.008700,-0.550000,62018.000000,3955.48,3909.752937,0
0.008500,-0.390000,61979.000000,3960.81,3916.024031,0
0.017400,-0.310000,61876.000000,3973.22,3924.292959,0
0.008500,-0.390000,61863.000000,3974.21,3930.570550,0
0.008700,-0.350000,61836.000000,3977.81,3936.352562,0
0.017500,-0.310000,61740.000000,3990.24,3944.035708,0
0.008500,-0.430000,61724.000000,3990.87,3949.939976,0
0.008400,-0.310000,61697.000000,3995.34,3955.419280,0
0.017700,-0.310000,61616.000000,4005.30,3962.476680,0
0.008500,-0.270000,61591.000000,4007.67,3968.159300,0
0.008500,-0.270000,61570.000000,4010.66,3973.278371,0
0.017400,-0.240000,61486.000000,4020.89,3980.116065,0
0.009100,-0.200000,61480.000000,4021.76,3985.182001,0
0.008500,-0.200000,61445.000000,4025.26,3990.160898,0
0.017500,-0.160000,61383.000000,4034.37,3996.288452,0
0.008400,-0.160000,61356.000000,4034.87,4001.327863,0
0.008700,-0.200000,61347.000000,4038.12,4005.639699,0
0.017500,-0.120000,61276.000000,4047.88,4011.469288,0
0.008400,-0.030000,61258.000000,4048.00,4016.053114,0
0.008500,-0.120000,61247.000000,4051.01,4020.044195,0
0.017700,-0.070000,61173.000000,4059.77,4025.704040,0
0.008500,-0.030000,61165.000000,4059.15,4029.895845,0
0.008400,-0.070000,61158.000000,4061.90,4033.471858,0
0.017500,-0.030000,61098.000000,4069.17,4038.405637,0
0.008700,-0.030000,61095.000000,4070.05,4041.939353,0
0.008500,-0.030000,61079.000000,4072.06,4045.232907,0
0.017400,0.000000,61011.000000,4080.09,4050.122446,0
0.008500,0.000000,61009.000000,4078.71,4053.607333,0
0.008700,-0.030000,61008.000000,4081.60,4056.477670,0
0.017500,0.030000,60945.000000,4086.75,4060.888408,0
0.008400,-0.030000,60942.000000,4087.25,4064.020927,0
0.008500,0.000000,60939.000000,4090.02,4066.673762,0
0.017700,-0.070000,60886.000000,4095.30,4070.625401,0
0.008500,0.000000,60886.000000,4093.41,4073.361945,0
0.008400,0.000000,60887.000000,4095.42,4075.563444,0
0.017400,0.000000,60833.000000,4100.96,4079.183238,0
0.008700,0.000000,60845.000000,4099.70,4081.357733,0
0.008400,0.000000,60837.000000,4101.21,4083.363038,0
0.017400,0.030000,60798.000000,4105.61,4086.401376,0
0.008400,0.030000,60804.000000,4104.10,4088.293242,0
0.008800,0.000000,60813.000000,4104.98,4089.641275,0
0.017300,0.030000,60757.000000,4110.40,4092.585704,0
0.008500,0.000000,60769.000000,4107.75,4094.255990,0
0.008400,0.000000,60781.000000,4108.64,4095.339157,0
0.017300,0.030000,60752.000000,4112.41,4097.348424,0
0.008800,0.000000,60755.000000,4111.15,4098.564466,0
0.008400,0.030000,60751.000000,4111.91,4099.696935,0
0.017500,0.030000,60727.000000,4114.81,4101.594141,0
0.008400,0.030000,60736.000000,4112.54,4102.562672,0
0.008800,0.030000,60742.000000,4113.42,4103.255301,0
0.017400,0.000000,60711.000000,4117.08,4104.958055,0
0.008400,0.000000,60730.000000,4113.80,4105.526004,0
0.008500,0.030000,60739.000000,4113.80,4105.818258,0
0.020000,0.030000,60712.000000,4116.19,4107.173600,0
0.008500,0.000000,60732.000000,4113.55,4107.372308,0
0.008500,0.000000,60742.000000,4113.55,4107.345091,0
0.017300,0.030000,60716.000000,4116.19,4108.320820,0
0.008700,0.000000,60748.000000,4111.78,4108.014413,0
0.008500,0.000000,60765.000000,4110.65,4107.395453,0
0.017400,0.070000,60776.000000,4108.76,4106.914530,0
0.008500,0.000000,60791.000000,4105.74,4105.930267,4400
0.008700,0.000000,60809.000000,4103.73,4104.759233,4400
0.017500,0.000000,60795.000000,4104.86,4104.479386,4400
0.008400,-0.200000,60812.000000,4103.22,4103.594754,4400
0.008500,28.560000,60818.000000,4028.25,4105.966635,4400
0.017900,-0.310000,60774.000000,4109.27,4103.982986,4400
0.008500,-0.390000,60786.000000,4105.61,4105.269138,4400
0.008500,0.070000,60806.000000,4104.98,4103.701352,4400
0.017500,-0.860000,60806.000000,4104.61,4103.962600,4400
0.008800,-18.280000,60847.000000,4099.70,4100.221914,4400
0.008400,-18.360000,60848.000000,4099.70,4099.107529,4400
0.017500,-14.470000,60897.000000,4092.78,4096.481233,4400
0.008400,-1.060000,60878.000000,4099.70,4096.743286,4400
0.008700,-4.350000,60863.000000,4101.08,4095.778953,4400
0.017700,-4.120000,61011.000000,4083.98,4092.353301,4400
0.008500,-5.020000,60951.000000,4085.37,4090.409216,4400
0.008400,-3.300000,60986.000000,4080.22,4088.660964,4400
0.018100,-16.080000,61022.000000,4079.34,4084.707261,4400
0.008400,-15.570000,60957.000000,4083.98,4084.498058,4400
0.008500,-9.960000,60960.000000,4090.52,4084.118837,4400
0.017700,2.430000,61009.000000,4072.18,4084.146270,4400
0.008700,-2.510000,61104.000000,4067.67,4080.074582,4400
0.008400,-1.490000,61112.000000,4064.03,4077.808342,4400
0.017500,-5.370000,61112.000000,4066.92,4075.028997,4400
0.008500,-5.570000,61107.000000,4066.79,4073.630926,4400
0.008700,-2.980000,61133.000000,4061.40,4071.718051,4400
0.017400,-4.200000,61100.000000,4070.55,4071.167890,4400
0.008500,-4.280000,61090.000000,4068.92,4070.952015,4400
0.008500,-3.770000,61116.000000,4064.03,4070.174770,4400
0.017600,-12.940000,61147.000000,4061.65,4067.802731,4400
0.008400,-4.750000,61173.000000,4063.16,4066.812061,4400
0.008500,-2.510000,61137.000000,4064.41,4066.244187,4400
0.017200,4.860000,61170.000000,4055.26,4066.280787,4400
0.008700,7.530000,61203.000000,4053.89,4064.854710,4400
0.008500,-8.160000,61230.000000,4052.88,4061.659044,4400
